x,y,z
587.93647835,3.84180164,0.24790765
586.95800476,3.84180164,0.24928747
586.95800476,3.84180164,0.24928747
585.93060747,3.84180164,0.25250706
585.93060747,3.84180164,0.25250706
585.19675234,3.84180164,0.25480676
585.19675234,3.89217949,0.25480676
584.80536285,3.89217949,0.25664651
584.80536285,4.04331303,0.25664651
584.31612602,4.04331303,0.25848627
584.31612602,4.24482441,0.25848627
583.92473665,4.24482441,0.25894621
583.92473665,4.64784670,0.25894621
583.53334728,4.64784670,0.25894621
583.53334728,5.10124731,0.25894621
583.28872886,5.10124731,0.25940615
583.28872886,5.50427008,0.25940615
583.09303418,5.50427008,0.25986612
583.09303418,5.90729284,0.25986612
583.04411045,5.90729284,0.25986612
583.04411045,6.46144867,0.25986612
582.99518695,6.46144867,0.26032603
582.99518695,7.56976128,0.26032603
582.99518695,7.56976128,0.26078597
582.99518695,8.57731724,0.26078597
582.99518695,8.57731724,0.26124594
582.99518695,9.58487415,0.26124594
582.99518695,9.58487415,0.26124594
582.99518695,10.39091969,0.26124594
582.99518695,10.39091969,0.26170585
582.99518695,10.99545383,0.26170585
582.89733949,10.99545383,0.26216578
582.89733949,11.59998798,0.26216578
582.75056854,11.59998798,0.26262575
582.75056854,12.10376549,0.26262575
582.55487362,12.10376549,0.26308566
582.55487362,12.55716610,0.26308566
582.21240774,12.55716610,0.26630524
582.21240774,12.96018887,0.26630524
581.82101837,12.96018887,0.26768509
581.82101837,13.36321163,0.26768509
581.38070551,13.36321163,0.26906490
581.38070551,13.61510086,0.26906490
580.89146867,13.61510086,0.26906490
580.89146867,13.81661224,0.26906490
580.40223184,13.81661224,0.26952484
580.40223184,13.91736794,0.26952484
579.91299501,13.91736794,0.26952484
579.91299501,13.96774578,0.26952484
579.27698722,13.96774578,0.27044469
579.27698722,13.96774578,0.27044469
578.20066658,13.96774578,0.27320439
578.20066658,13.96774578,0.27320439
577.22219291,13.96774578,0.27688387
577.22219291,13.96774578,0.27688387
576.24371925,13.96774578,0.27826369
576.24371925,13.96774578,0.27826369
575.21632209,13.96774578,0.27918357
575.21632209,13.96774578,0.27918357
574.23784843,13.96774578,0.28102332
574.23784843,13.96774578,0.28102332
573.40614620,13.96774578,0.28286308
573.40614620,14.01812363,0.28286308
573.06367984,14.01812363,0.28516278
573.06367984,14.16925716,0.28516278
572.57444301,14.16925716,0.28700256
572.18305412,14.16925716,0.28792247
572.18305412,14.37076855,0.28792247
